nRMSE,MAE,RMSE_d1,RMSE_d5,RMSE_d25,RMSE_d50,spec_nrmse_delta,spec_nrmse_theta,spec_nrmse_alpha,spec_nrmse_beta,spec_nrmse_lowg,res_ac1,res_linelen,res_perm_entropy,coh_drop_alpha,delta_nRMSE,improve_rate,subject,true,win_idx
2.3359604768704316,1.886409724403884,0.9540752376778987,1.7192459772648594,1.5189911349827414,1.8832267854067573,1.0185118644241693,1.5914760834679258,1.3562758236445993,1.422446249683727,1.8156173609383377,0.9667132698102504,0.4317657203758626,1.164325673070267,1.4802973661668753e-16,-0.9048586695209819,0.3083076923076923,h01,0,0
2.1386405912221154,1.9470186600366273,1.5313086242094955,2.730991169963262,2.9346760026452614,2.2037863830518316,0.9275354648630784,1.313463018622365,0.9531227653384154,1.1076494618170214,1.9541500441026867,0.9564452826515265,0.48295735279906665,1.1877300656420635,1.8503717077085943e-16,-0.9199568487254863,0.2935384615384615,h01,0,1
3.1427802213716265,1.9966766140057435,1.015226179145137,1.9791567592481403,2.7515806883061886,2.000342892646691,1.5594078384208374,1.68735967860759,1.6002589193039125,1.332241798142361,1.9085470183668944,0.9638399283024932,0.466174455032114,1.1656114238316078,7.401486830834377e-17,-1.444988565449697,0.2590769230769231,h01,0,2
2.8827155448347117,2.2658291228425034,1.307020232601903,2.5333918261525046,2.6803999873447024,2.626982229245185,1.492655330527671,1.5887383299663649,1.7143874874460145,1.021678499470894,1.9064199794158176,0.9592776817218814,0.5358083254862694,1.1542459039625086,0.0,-1.772342007400079,0.17476923076923076,h01,0,3
2.662228912492716,2.608915294673393,1.7670067465284571,3.6095683781139503,2.3526478565169167,3.3205382255876144,1.4322862839749115,1.180640307396018,1.2045434740354564,1.2771094685776019,1.9161323378116086,0.9691795039437627,0.5194086608790335,1.1516130687001964,1.1102230246251565e-16,-1.5961310778287172,0.1513846153846154,h01,0,4
4.104501215174333,2.6338888558724722,1.6555466755286745,2.8690279908156833,2.6752344852975245,1.6159441355947677,1.2710121836381079,1.6899428113491515,1.827957638928613,1.577998721196963,1.9685532604790104,0.9618416486762028,0.5640791125072406,1.2135463521783074,1.1102230246251565e-16,-2.6911277520474943,0.12738461538461537,h01,0,5
2.416488244841645,2.47920021058774,1.4297450544655792,2.7135607238075536,3.8915463577936955,2.7729154445104536,1.1795566233304078,1.2329899440083127,1.0053201550700055,0.9476695208461999,1.9332476538920593,0.9665474374583072,0.5241743334575812,1.163779269566198,1.8503717077085943e-16,-0.9836675056224893,0.232,h01,0,6
3.3582588037450285,2.5414813941266767,1.5440154382688023,2.236357000957286,3.434043031813642,3.4551754619558315,1.6968489263229212,1.5992140957995677,1.6409880539667037,1.3177015144334272,1.9123891684711198,0.9602709873332747,0.5628987276906794,1.1666322790940427,1.1102230246251565e-16,-2.0157192006361146,0.17292307692307693,h01,0,7
2.3635677300196942,2.4916214380071704,1.5226597160615385,2.409081986585183,2.8246049932610586,3.5594817905260197,1.2359201056110092,1.2025987730922854,1.1615134661520448,1.2110382498927712,1.9447527578713337,0.9653834593746873,0.5327649709423213,1.146315791724793,0.0,-1.2494777246992048,0.21169230769230768,h01,0,8
3.318133160663785,2.379316659871012,1.3804990204455363,2.1118029115474823,2.389464831671443,3.0398842052121435,1.4334795473104784,1.6314190865674882,1.6913577277756617,1.2230311487974825,1.9732766697955535,0.9627647227958415,0.5326386081701571,1.1836395597867495,1.1102230246251565e-16,-1.902832100137269,0.17723076923076922,h01,0,9
2.9031521229003014,2.397807495410015,1.7624841444910728,2.561282663261371,2.7621931191171427,3.157931203659818,1.6552901308213421,1.7226784132334658,1.322398171253845,0.8509990886751827,1.9765561036620178,0.9643821813823736,0.5198112176897481,1.1849666051078274,0.0,-1.8339132412745625,0.16676923076923078,h01,0,10
2.977769645204695,2.264505727991516,1.1582229631580958,1.9719022283083099,2.5286679884140306,2.261955854608988,1.3569525258514805,1.7123891476377102,1.6028027102474087,1.5451100246134486,1.9849194241090895,0.9560027089555991,0.5447487743693621,1.1970132074647362,0.0,-1.7842801340702255,0.1753846153846154,h01,0,11
2.33179984119137,2.159966528579582,1.3246152537321398,2.495793945319706,2.0592034292616663,2.105454688996111,0.8013416981115932,1.1971892138390394,1.558895603648918,1.3270060033469853,1.9808978870369303,0.9647750722554534,0.4771378745877156,1.1432275289515623,1.1102230246251565e-16,-0.832807793118038,0.3181538461538462,h01,0,12
2.084247898693636,1.912281601829305,0.9601829211129288,2.2225086466824457,1.9618095833211802,2.084043130367366,1.0370442344930872,1.2076469574605226,1.1772080665905724,0.9967290495540468,1.957291859680138,0.9651310016650689,0.4458349019496226,1.1791082158634005,0.0,-0.8849544482913112,0.2473846153846154,h01,0,13
3.116404883480358,2.2607141905335317,0.9730257452360447,2.170151781463385,2.505520624550495,2.3218921990630554,1.512974618845045,1.4881959044128488,1.4294433372387312,1.7201202048157929,1.9658405195557582,0.9608411869203806,0.5119146273188132,1.199270550695289,0.0,-1.434956608774567,0.27692307692307694,h01,0,14
2.7845339365362776,2.1114623076497607,0.9201500726153041,2.1426954943209697,2.2473342554370634,3.14202560986787,0.9846502118454189,1.5248740997819579,1.5302453421662294,1.2001247468261722,1.9405759521435375,0.9600245827405626,0.49030887862291694,1.1743605911348511,0.0,-1.670769512484724,0.15753846153846154,h01,0,15
3.0137206788496806,2.2687697916483054,0.8720106889173627,2.004580551371423,3.2609974265855324,3.3573621499010997,1.5672905761704476,1.66977992373296,1.6218774659916444,1.474110918859846,1.957666453477872,0.9679104341511919,0.47180796232447825,1.2165787728109818,7.401486830834377e-17,-1.1188291270532955,0.32,h01,0,16
2.277959885515841,2.086857036977366,1.4637983696573906,2.205308399492634,2.137188650110362,1.921510192871574,0.7173011618169329,1.190773212156442,0.9699603359893687,1.1191229799413533,1.9330716657649654,0.9656233788314399,0.48768069803678615,1.1599517647566961,1.1102230246251565e-16,-0.8247409784022095,0.30030769230769233,h01,0,17
3.1407183070523432,1.9536277224590661,1.1307803783333954,1.3637179870936775,2.2067488387414267,2.096153551019125,1.2589340717380106,1.6921295916071697,1.7061682575086772,1.1228658892025274,1.9706513436212154,0.9628654663071502,0.42130877694193575,1.1715469177248858,0.0,-1.4837578520608825,0.29046153846153844,h01,0,18
2.667802968632633,2.266684677262004,1.1997967700401337,2.0794721028548486,2.2573310773158,1.9376611744124002,1.1372448251366103,1.4187004827745215,1.3487299723512138,0.8708121136515067,1.9580559229106598,0.9672532794823285,0.49627455379395874,1.1643816618965668,2.590520390792032e-16,-1.362043314393623,0.19815384615384615,h01,0,19
2.2850099488190376,1.777611533336382,1.3273896002811945,2.3055859033790154,1.479013823072023,2.0786976700778683,1.3359741778217595,1.3288270980320513,1.1247519815703533,1.2375433200620238,1.9446038239909298,0.9616402087293742,0.42917915838066273,1.1851734160703684,7.401486830834377e-17,-0.8800465584878221,0.2873846153846154,h01,0,20
3.3585807839968758,2.2412887235668846,1.8450313860351182,2.27435835872183,1.985773513292873,3.7478834699846924,1.6324002192777547,1.719605201017949,1.505234425484662,1.4419841702095868,1.9453835875739496,0.9572690748968056,0.5008954869219574,1.1961392837505636,0.0,-1.9800055003929637,0.208,h01,0,21
2.5659156768679012,2.363001180956419,2.1478478531396306,3.051145777708143,2.035894720636196,2.548000115605215,1.0228052912596473,1.5970986601926427,1.3195783581881497,0.867794058019501,1.8716323218208002,0.9559702048514521,0.5450837131894254,1.1769292623384844,1.1102230246251565e-16,-1.4527028646543672,0.20676923076923076,h01,0,22
